request_number,duration_microseconds
1,7152.833000000
2,9978.708000000
3,14485.708000000
4,11765.792000000
5,11617.666000000
6,12379.000000000
7,10554.292000000
8,10180.542000000
9,9903.958000000
10,10886.208000000
11,10375.292000000
12,10737.541000000
13,9835.875000000
14,10548.000000000
15,10684.583000000
16,9820.000000000
17,8510.959000000
18,9910.917000000
19,8546.458000000
20,8837.708000000
21,9667.583000000
22,8964.250000000
23,9085.208000000
24,9332.000000
25,8790.083000000
26,9345.542000000
27,8706.041000000
28,9192.250000000
29,9497.000000000
30,7858.125000000
31,8787.667000000
32,8972.791000000
33,8893.333000000
34,9603.875000000
35,9242.583000000
36,9360.125000000
37,8846.417000000
38,8988.875000000
39,9289.750000000
40,10245.667000000
41,8812.583000000
42,12232.583000000
43,9605.167000000
44,7521.250000000
45,8629.959000000
46,8327.708000000
47,8482.875000000
48,8949.167000000
49,8069.042000000
50,8345.750000000
